id,seen,speed,direction,
3c434441,1519886845566,59.41,right,
9141b46b,1519886848862,48.85,left,
54435b1e,1519886853536,37.5,right,
d5b58f11,1519886857601,48.65,left,
b4048478,1519886868888,51.06,right,
9f506241,1519886870338,53.41,right,
9e32988c,1519886873503,57.69,right,
77b3099b,1519886882210,53.81,left,
70a82765,1519886905619,25.23,right,
485e9ab3,1519886906097,0.0,right,
c1c67a1a,1519886906129,0.0,right,
bc883f35,1519886906223,0.0,right,
4eb0aa75,1519886911823,45.06,left,
e1e49ae6,1519886917231,49.52,left,
6bd70aa0,1519886919026,64.4,right,
5e675797,1519886926898,31.58,right,
d52eb4ad,1519886929198,32.55,right,
d02b1718,1519886929902,0.0,left,
8668a040,1519886929966,0.0,right,
e7247c4a,1519886931023,30.03,right,
c2ff31b4,1519886946302,46.51,left,
4bafbd86,1519886951230,49.11,left,
e03652dd,1519886952544,45.17,left,
60906c61,1519886955599,60.91,left,
30bbc701,1519886962577,0.0,right,
32043821,1519886962913,0.0,left,
4d33bad9,1519886963712,29.22,right,
3fdd2271,1519886965283,50.99,right,
e28d5ed0,1519886980578,46.69,right,
3315cc06,1519886999873,53.41,right,
16e29521,1519887001085,55.81,right,
0657cc20,1519887002257,56.34,right,
bb9e2e2b,1519887015918,44.67,left,
cb7ece3d,1519887037612,32.67,left,
82dc17f0,1519887061375,40.27,right,
24222958,1519887063470,0.0,right,
54b19af0,1519887064369,0.0,right,
96f019b2,1519887065103,48.39,right,
4954cf4b,1519887067166,49.11,right,
77499182,1519887068607,44.06,right,
9ea90db8,1519887077985,44.89,right,
23adba89,1519887088912,42.5,left,
d4503d91,1519887091743,54.96,right,
88845a55,1519887097455,0.0,right,
3e9f6f7f,1519887097834,0.0,right,
2cb58762,1519887098720,0.0,left,
d53414bb,1519887108815,0.0,right,
5242e311,1519887118383,42.96,left,
844d952a,1519887119919,43.22,left,
b8ed4081,1519887121552,43.22,left,
1fb4a9ff,1519887123168,53.49,right,
b57ab563,1519887142559,53.73,right,
4bea6bd2,1519887154865,0.0,right,
7829a41e,1519887156274,68.44,right,
6ea39d98,1519887174579,48.78,left,
2f060b70,1519887177040,46.88,left,
5f6ba530,1519887182752,47.75,right,
0b5d07e1,1519887186722,50.07,left,
4fd0d07a,1519887198787,0.0,right,
94dea18d,1519887200292,49.11,left,
b454bffa,1519887201762,59.31,right,
3440d9cb,1519887223264,54.88,left,
674a434e,1519887229391,0.0,right,
87cbb037,1519887235055,52.71,right,
3dde4660,1519887241873,52.86,right,
c36215b0,1519887244095,41.62,left,
4dc5781b,1519887245759,0.0,right,
5438c8ef,1519887247517,0.0,left,
914a1cf3,1519887248895,0.0,right,
39a6ede2,1519887250032,0.0,left,
366f7b26,1519887250064,0.0,left,
0e326811,1519887250672,0.0,left,
36a1d5c6,1519887252032,0.0,left,
1f6c80a4,1519887253885,41.62,left,
32572280,1519887255536,40.13,left,
e15b4547,1519887257712,45.0,left,
21cb7a90,1519887264399,45.11,left,
e55ad6af,1519887287652,53.97,right,
988a2984,1519887301488,52.94,left,
4cd615b0,1519887303488,52.86,right,
a8a34c50,1519887307647,0.0,left,
30851ebe,1519887308563,0.0,right,
810c74c9,1519887309424,0.0,left,
45bd1ebc,1519887315218,54.71,right,
e94a5a72,1519887325086,0.0,left,
47d2dcda,1519887326256,0.0,right,
18d8986b,1519887329456,56.25,right,
05f09d0e,1519887330624,53.49,left,
5f442390,1519887348735,64.52,right,
b20b4daa,1519887350368,54.63,right,
7acadab6,1519887357905,56.78,right,
f704d059,1519887359041,53.57,right,
6bd98ecd,1519887365280,55.56,right,
1371cd06,1519887368307,50.21,right,
9172e8a1,1519887370145,49.11,right,
3e687cb6,1519887375184,68.31,right,
73c97d77,1519887382279,51.28,left,
2e4fdfcd,1519887387839,56.6,left,
abc3f628,1519887389216,51.14,left,
91216ea1,1519887400288,70.87,right,
68c7fba9,1519887404385,64.29,right,
b9c0e5f3,1519887405730,57.69,left,
3f620dcf,1519887434993,44.89,left,
055450d6,1519887436403,45.06,left,
c226414a,1519887438032,43.17,left,
64e7965b,1519887439871,47.0,left,
e4f1d7c3,1519887461376,47.06,right,
873691a2,1519887462975,46.63,right,
742c3c88,1519887465599,51.58,left,
e17ac3c1,1519887474146,53.73,left,
81bf057d,1519887478175,56.16,right,
bc889aea,1519887499920,0.0,left,
ae7331dd,1519887505682,59.6,left,
bc7ab1a2,1519887509249,66.06,right,
